2021.01.20,00:00,4.620,4.620,4.580,4.770,4.790,4.720,4.650,4.390,4.280,4.200,4.270
2021.01.19,00:00,4.580,4.580,4.770,4.790,4.720,4.650,4.390,4.280,4.200,4.270,4.310
2021.01.18,00:00,4.770,4.770,4.790,4.720,4.650,4.390,4.280,4.200,4.270,4.310,4.170
2021.01.15,00:00,4.790,4.790,4.720,4.650,4.390,4.280,4.200,4.270,4.310,4.170,4.180
2021.01.14,00:00,4.720,4.720,4.650,4.390,4.280,4.200,4.270,4.310,4.170,4.180,4.250
2021.01.13,00:00,4.650,4.650,4.390,4.280,4.200,4.270,4.310,4.170,4.180,4.250,4.160
2021.01.12,00:00,4.390,4.390,4.280,4.200,4.270,4.310,4.170,4.180,4.250,4.160,4.130
2021.01.11,00:00,4.280,4.280,4.200,4.270,4.310,4.170,4.180,4.250,4.160,4.130,4.210
2021.01.08,00:00,4.200,4.200,4.270,4.310,4.170,4.180,4.250,4.160,4.130,4.210,4.280
2021.01.07,00:00,4.270,4.270,4.310,4.170,4.180,4.250,4.160,4.130,4.210,4.280,4.330
2021.01.06,00:00,4.310,4.310,4.170,4.180,4.250,4.160,4.130,4.210,4.280,4.330,4.320
2021.01.05,00:00,4.170,4.170,4.180,4.250,4.160,4.130,4.210,4.280,4.330,4.320,4.280
2021.01.04,00:00,4.180,4.180,4.250,4.160,4.130,4.210,4.280,4.330,4.320,4.280,4.280
2020.12.30,00:00,4.250,4.250,4.160,4.130,4.210,4.280,4.330,4.320,4.280,4.280,4.280
2020.12.29,00:00,4.160,4.160,4.130,4.210,4.280,4.330,4.320,4.280,4.280,4.280,4.330
2020.12.28,00:00,4.130,4.130,4.210,4.280,4.330,4.320,4.280,4.280,4.280,4.330,4.400
2020.12.23,00:00,4.210,4.210,4.280,4.330,4.320,4.280,4.280,4.280,4.330,4.400,4.400
2020.12.22,00:00,4.280,4.280,4.330,4.320,4.280,4.280,4.280,4.330,4.400,4.400,4.300
2020.12.21,00:00,4.330,4.330,4.320,4.280,4.280,4.280,4.330,4.400,4.400,4.300,4.400
2020.12.18,00:00,4.320,4.320,4.280,4.280,4.280,4.330,4.400,4.400,4.300,4.400,4.300
2020.12.17,00:00,4.280,4.280,4.280,4.280,4.330,4.400,4.400,4.300,4.400,4.300,4.240
2020.12.16,00:00,4.280,4.280,4.280,4.330,4.400,4.400,4.300,4.400,4.300,4.240,4.090
2020.12.15,00:00,4.280,4.280,4.330,4.400,4.400,4.300,4.400,4.300,4.240,4.090,4.270
2020.12.11,00:00,4.330,4.330,4.400,4.400,4.300,4.400,4.300,4.240,4.090,4.270,4.290
2020.12.10,00:00,4.400,4.400,4.400,4.300,4.400,4.300,4.240,4.090,4.270,4.290,4.320
2020.12.08,00:00,4.400,4.400,4.300,4.400,4.300,4.240,4.090,4.270,4.290,4.320,4.200
2020.12.07,00:00,4.300,4.300,4.400,4.300,4.240,4.090,4.270,4.290,4.320,4.200,4.080
2020.12.04,00:00,4.400,4.400,4.300,4.240,4.090,4.270,4.290,4.320,4.200,4.080,4.020
2020.12.03,00:00,4.300,4.300,4.240,4.090,4.270,4.290,4.320,4.200,4.080,4.020,4.040
2020.12.02,00:00,4.240,4.240,4.090,4.270,4.290,4.320,4.200,4.080,4.020,4.040,4.040
2020.12.01,00:00,4.090,4.090,4.270,4.290,4.320,4.200,4.080,4.020,4.040,4.040,3.960
2020.11.30,00:00,4.270,4.270,4.290,4.320,4.200,4.080,4.020,4.040,4.040,3.960,3.960
2020.11.27,00:00,4.290,4.290,4.320,4.200,4.080,4.020,4.040,4.040,3.960,3.960,40
2020.11.26,00:00,4.320,4.320,4.200,4.080,4.020,4.040,4.040,3.960,3.960,40,3.950
2020.11.25,00:00,4.200,4.200,4.080,4.020,4.040,4.040,3.960,3.960,40,3.950,4.120
2020.11.24,00:00,4.080,4.080,4.020,4.040,4.040,3.960,3.960,40,3.950,4.120,40
2020.11.23,00:00,4.020,4.020,4.040,4.040,3.960,3.960,40,3.950,4.120,40,3.690
2020.11.20,00:00,4.040,4.040,4.040,3.960,3.960,40,3.950,4.120,40,3.690,3.560
2020.11.19,00:00,4.040,4.040,3.960,3.960,40,3.950,4.120,40,3.690,3.560,3.490
2020.11.18,00:00,3.960,3.960,3.960,40,3.950,4.120,40,3.690,3.560,3.490,3.290
2020.11.17,00:00,3.960,3.960,40,3.950,4.120,40,3.690,3.560,3.490,3.290,3.380
2020.11.16,00:00,40,40,3.950,4.120,40,3.690,3.560,3.490,3.290,3.380,0
2020.11.15,00:00,3.950,3.950,4.120,40,3.690,3.560,3.490,3.290,3.380,0,0
2020.11.14,00:00,4.120,4.120,40,3.690,3.560,3.490,3.290,3.380,0,0,0
2020.11.13,00:00,40,40,3.690,3.560,3.490,3.290,3.380,0,0,0,0
2020.11.12,00:00,3.690,3.690,3.560,3.490,3.290,3.380,0,0,0,0,0
2020.11.11,00:00,3.560,3.560,3.490,3.290,3.380,0,0,0,0,0,0
2020.11.10,00:00,3.490,3.490,3.290,3.380,0,0,0,0,0,0,0
2020.11.09,00:00,3.290,3.290,3.380,0,0,0,0,0,0,0,0
2020.11.08,00:00,3.380,3.380,0,0,0,0,0,0,0,0,0
